player_id,name,player_club,age,position,market_value,nationality,player_height,player_agent,strong_foot,contract_value_time
34130,Tom Heaton,Man Utd,39.0,Goalkeeper,250.0,England,1.88,,right,2025.0
192080,Nick Pope,Newcastle,33.0,Goalkeeper,10000.0,England,1.98,CAA Stellar,right,2026.0
124419,Odysseas Vlachodimos,Newcastle,31.0,Goalkeeper,7000.0,Greece,1.91,,right,
74960,Martin Dúbravka,Newcastle,36.0,Goalkeeper,1000.0,Slovakia,1.91,Current international:,right,2026.0
142389,Mark Gillespie,Newcastle,33.0,Goalkeeper,300.0,England,1.91,SMI Sports ...,right,2025.0
29712,John Ruddy,Newcastle,38.0,Goalkeeper,200.0,England,1.92,Wasserman,right,2025.0
111873,Emiliano Martínez,Aston Villa,32.0,Goalkeeper,25000.0,Argentina,1.95,Universal Twenty Two,right,2029.0
75458,Robin Olsen,Aston Villa,35.0,Goalkeeper,1500.0,Sweden,1.96,HCM Sports ...,right,2025.0
565093,Bart Verbruggen,Brighton,22.0,Goalkeeper,25000.0,Netherlands,1.94,,right,2028.0
646353,Carl Rushworth,Brighton,23.0,Goalkeeper,3000.0,England,1.91,,"
                            Jul 1, 2023                        ",2027.0
73564,Jason Steele,Brighton,34.0,Goalkeeper,2000.0,England,1.88,,right,2026.0
406556,Tom McGill,Brighton,25.0,Goalkeeper,600.0,Canada,1.85,,right,2027.0
120629,Alphonse Areola,West Ham,32.0,Goalkeeper,10000.0,France,1.95,Rafaela Pimenta,right,2027.0
61697,Wes Foderingham,West Ham,34.0,Goalkeeper,900.0,England,1.85,CAA Stellar,left,2026.0
29692,Lukasz Fabianski,West Ham,40.0,Goalkeeper,700.0,Poland,1.9,ROOF,right,2025.0
127202,Matz Sels,Forest,33.0,Goalkeeper,7000.0,Belgium,1.88,,right,2027.0
641458,Carlos Miguel,Forest,26.0,Goalkeeper,4000.0,Brazil,2.04,,left,2028.0
45494,Wayne Hennessey,Forest,38.0,Goalkeeper,175.0,Wales,1.98,CAA Stellar,right,2025.0
258919,Dean Henderson,Crystal Palace,28.0,Goalkeeper,15000.0,England,1.88,CAA Stellar,right,2028.0
425306,Matt Turner,Crystal Palace,30.0,Goalkeeper,4000.0,United States,1.91,Wasserman,right,2025.0
196722,Remi Matthews,Crystal Palace,31.0,Goalkeeper,500.0,England,1.92,Two Touch Agency,right,2025.0
192279,Kepa Arrizabalaga,Bournemouth,30.0,Goalkeeper,11000.0,Spain,1.88,AC Talent,right,2025.0
582078,Will Dennis,Bournemouth,24.0,Goalkeeper,350.0,England,1.88,,"
                            Jul 1, 2021                        ",2028.0
125714,Mark Flekken,Brentford,31.0,Goalkeeper,10000.0,Netherlands,1.95,SEG,both,2027.0
488935,Hákon Rafn Valdimarsson,Brentford,23.0,Goalkeeper,2500.0,Iceland,1.95,CAA Stellar,right,2028.0
249994,José Sá,Wolves,32.0,Goalkeeper,8000.0,Portugal,1.92,Gestifute,right,2027.0
110864,Sam Johnstone,Wolves,32.0,Goalkeeper,8000.0,England,1.93,Unique Sports Group,right,2028.0
136401,Daniel Bentley,Wolves,31.0,Goalkeeper,2000.0,England,1.93,Unique Sports Group,"
                            Jan 25, 2023                        ",2027.0
